"module name","license","repository"
"@aduh95/viz.js@3.4.0","MIT","https://github.com/aduh95/viz.js"
"@angular-devkit/architect@0.13.10","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/architect@0.13.9","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-angular@0.13.10","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-ng-packagr@0.13.10","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-optimizer@0.13.10","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-webpack@0.13.10","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@7.3.10","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@7.3.9","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/schematics@7.3.9","MIT","https://github.com/angular/angular-cli"
"@angular/animations@7.2.15","MIT","https://github.com/angular/angular"
"@angular/cdk@7.3.7","MIT","https://github.com/angular/material2"
"@angular/cli@7.3.9","MIT","https://github.com/angular/angular-cli"
"@angular/common@7.2.15","MIT","https://github.com/angular/angular"
"@angular/compiler-cli@7.2.15","MIT","https://github.com/angular/angular"
"@angular/compiler@7.2.15","MIT","https://github.com/angular/angular"
"@angular/core@7.2.15","MIT","https://github.com/angular/angular"
"@angular/elements@7.2.15","MIT","https://github.com/angular/angular"
"@angular/forms@7.2.15","MIT","https://github.com/angular/angular"
"@angular/http@7.2.15","MIT","https://github.com/angular/angular"
"@angular/language-service@7.2.15","MIT","https://github.com/angular/angular"
"@angular/material-moment-adapter@7.3.7","MIT","https://github.com/angular/material2"
"@angular/material@7.3.7","MIT","https://github.com/angular/material2"
"@angular/platform-browser-dynamic@7.2.15","MIT","https://github.com/angular/angular"
"@angular/platform-browser@7.2.15","MIT","https://github.com/angular/angular"
"@angular/router@7.2.15","MIT","https://github.com/angular/angular"
"@angular/service-worker@7.2.15","MIT","https://github.com/angular/angular"
"@babel/code-frame@7.12.13","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.13.15","MIT","https://github.com/babel/babel"
"@babel/core@7.13.15","MIT","https://github.com/babel/babel"
"@babel/generator@7.13.9","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.13.13","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.12.13","MIT","https://github.com/babel/babel"
"@babel/helper-get-function-arity@7.12.13","MIT","https://github.com/babel/babel"
"@babel/helper-member-expression-to-functions@7.13.12","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.13.12","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.13.14","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.12.13","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.13.0","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.13.12","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.13.12","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.12.13","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.12.11","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.12.17","MIT","https://github.com/babel/babel"
"@babel/helpers@7.13.10","MIT","https://github.com/babel/babel"
"@babel/highlight@7.13.10","MIT","https://github.com/babel/babel"
"@babel/parser@7.13.15","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-bigint@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-object-rest-spread@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"@babel/plugin-syntax-optional-catch-binding@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding"
"@babel/plugin-syntax-optional-chaining@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining"
"@babel/runtime@7.13.10","MIT","https://github.com/babel/babel"
"@babel/template@7.12.13","MIT","https://github.com/babel/babel"
"@babel/traverse@7.13.15","MIT","https://github.com/babel/babel"
"@babel/types@7.13.14","MIT","https://github.com/babel/babel"
"@bcoe/v8-coverage@0.2.3","MIT","https://github.com/demurgos/v8-coverage"
"@cnakazawa/watch@1.0.4","Apache-2.0","https://github.com/mikeal/watch"
"@compodoc/compodoc@1.1.9","MIT","https://github.com/compodoc/compodoc"
"@compodoc/ngd-core@2.1.0","MIT","https://github.com/compodoc/ngd"
"@compodoc/ngd-transformer@2.1.0","MIT","https://github.com/compodoc/ngd"
"@dsherret/to-absolute-glob@2.0.2","MIT","https://github.com/jonschlinkert/to-absolute-glob"
"@eui/base@7.18.2","EUPL-1.1","https://ec.europa.eu/component-library/ec/resources/eui/"
"@eui/core@7.18.2","EUPL-1.1","https://ec.europa.eu/component-library/ec/resources/eui/"
"@eui/deps-base@7.18.2","EUPL-1.1","https://ec.europa.eu/component-library/ec/resources/eui/"
"@eui/ecl-core@7.1.0","EUPL-1.1","https://ec.europa.eu/component-library/ec/resources/eui/"
"@eui/ecl-styles@7.1.0","EUPL-1.1","https://ec.europa.eu/component-library/ec/resources/eui/"
"@eui/externals@7.18.2","EUPL-1.1","https://ec.europa.eu/component-library/ec/resources/eui/"
"@eui/styles@7.18.2","EUPL-1.1","https://ec.europa.eu/component-library/ec/resources/eui/"
"@eui/tools@4.4.17","EUPL-1.1","https://ec.europa.eu/component-library/ec/resources/eui/"
"@istanbuljs/load-nyc-config@1.1.0","ISC","https://github.com/istanbuljs/load-nyc-config"
"@istanbuljs/schema@0.1.3","MIT","https://github.com/istanbuljs/schema"
"@jest/console@25.5.0","MIT","https://github.com/facebook/jest"
"@jest/core@25.5.4","MIT","https://github.com/facebook/jest"
"@jest/environment@25.5.0","MIT","https://github.com/facebook/jest"
"@jest/fake-timers@25.5.0","MIT","https://github.com/facebook/jest"
"@jest/globals@25.5.2","MIT","https://github.com/facebook/jest"
"@jest/reporters@25.5.1","MIT","https://github.com/facebook/jest"
"@jest/source-map@25.5.0","MIT","https://github.com/facebook/jest"
"@jest/test-result@25.5.0","MIT","https://github.com/facebook/jest"
"@jest/test-sequencer@25.5.4","MIT","https://github.com/facebook/jest"
"@jest/transform@25.5.1","MIT","https://github.com/facebook/jest"
"@jest/types@25.5.0","MIT","https://github.com/facebook/jest"
"@mrmlnc/readdir-enhanced@2.2.1","MIT","https://github.com/bigstickcarpet/readdir-enhanced"
"@netbasal/content-loader@1.1.0","MIT","https://github.com/NetanelBasal/ngx-content-loader"
"@ngrx/effects@7.4.0","MIT","https://github.com/ngrx/platform"
"@ngrx/entity@7.4.0","MIT","https://github.com/ngrx/platform"
"@ngrx/router-store@7.4.0","MIT","https://github.com/ngrx/platform"
"@ngrx/schematics@7.4.0","MIT","https://github.com/ngrx/platform"
"@ngrx/store-devtools@7.4.0","MIT","https://github.com/ngrx/platform"
"@ngrx/store@7.4.0","MIT","https://github.com/ngrx/platform"
"@ngtools/json-schema@1.1.0","MIT","https://github.com/angular/angular-cli"
"@ngtools/webpack@7.3.10","MIT","https://github.com/angular/angular-cli"
"@ngui/auto-complete@2.0.0","MIT","https://github.com/ng2-ui/auto-complete"
"@ngui/utils@0.8.1","MIT","https://github.com/ng2-ui/utils"
"@ngx-translate/core@11.0.1","MIT","https://github.com/ngx-translate/core"
"@ngx-translate/http-loader@4.0.0","MIT","https://github.com/ngx-translate/http-loader"
"@nodelib/fs.stat@1.1.3","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@schematics/angular@7.3.9","MIT","https://github.com/angular/angular-cli"
"@schematics/update@0.13.9","MIT","https://github.com/angular/angular-cli"
"@sindresorhus/is@0.14.0","MIT","https://github.com/sindresorhus/is"
"@sinonjs/commons@1.8.3","BSD-3-Clause","https://github.com/sinonjs/commons"
"@swimlane/ngx-charts@12.0.1","MIT","https://github.com/swimlane/ngx-charts"
"@szmarczak/http-timer@1.1.2","MIT","https://github.com/szmarczak/http-timer"
"@types/babel__core@7.1.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.6.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__template@7.4.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__traverse@7.11.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/estree@0.0.39","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/glob@7.1.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/graceful-fs@4.1.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-coverage@2.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-report@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-reports@1.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jasmine@3.3.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jasminewd2@2.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/js-beautify@0.0.28","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash@4.14.136","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/minimatch@3.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@14.14.37","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/normalize-package-data@2.4.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prettier@1.19.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/q@0.0.32","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/resolve@0.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped.git"
"@types/selenium-webdriver@3.0.17","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/source-list-map@0.1.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/stack-utils@1.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/unist@2.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/vfile-message@2.0.0","MIT","https://github.com/vfile/vfile-message.git#readme"
"@types/vfile@3.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/webpack-sources@0.1.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs-parser@20.2.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs@15.0.13","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@w11k/angular-sticky-things@1.1.2","MIT","https://github.com/w11k/angular-sticky-things"
"@webassemblyjs/ast@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/floating-point-hex-parser@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-api-error@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-buffer@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-code-frame@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-fsm@1.7.11","ISC","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-module-context@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-bytecode@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/helper-wasm-section@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/ieee754@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/leb128@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/utf8@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-edit@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-gen@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-opt@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wasm-parser@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wast-parser@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webassemblyjs/wast-printer@1.7.11","MIT","https://github.com/xtuc/webassemblyjs"
"@webcomponents/custom-elements@1.2.4","BSD-3-Clause","https://github.com/webcomponents/custom-elements"
"@xtuc/ieee754@1.2.0","BSD-3-Clause","https://github.com/feross/ieee754"
"@xtuc/long@4.2.1","Apache-2.0","https://github.com/dcodeIO/long.js"
"@yarnpkg/lockfile@1.1.0","BSD-2-Clause","https://github.com/yarnpkg/yarn/blob/master/packages/lockfile"
"JSONStream@1.3.5","(MIT OR Apache-2.0)","https://github.com/dominictarr/JSONStream"
"abab@2.0.5","BSD-3-Clause","https://github.com/jsdom/abab"
"abbrev@1.0.9","ISC","https://github.com/isaacs/abbrev-js"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"accepts@1.3.7","MIT","https://github.com/jshttp/accepts"
"acorn-dynamic-import@4.0.0","MIT","https://github.com/kesne/acorn-dynamic-import"
"acorn-globals@4.3.4","MIT","https://github.com/ForbesLindesay/acorn-globals"
"acorn-node@1.8.2","Apache-2.0","https://github.com/browserify/acorn-node"
"acorn-walk@6.2.0","MIT","https://github.com/acornjs/acorn"
"acorn-walk@7.2.0","MIT","https://github.com/acornjs/acorn"
"acorn@6.4.2","MIT","https://github.com/acornjs/acorn"
"acorn@7.4.1","MIT","https://github.com/acornjs/acorn"
"adm-zip@0.4.16","MIT","https://github.com/cthackers/adm-zip"
